seed,gamma,sigma_epsilon,L,N_code,epsilon,mode,total_resources,converged,final_error,n_rounds,M_max_used,timestamp
2,0.0000000000e+00,0.0000000000e+00,1,3,9.6172487112e-03,sequential,11520,True,6.6023442559e-04,8,48,2026-05-04T07:12:19.502627
2,0.0000000000e+00,0.0000000000e+00,1,3,1.0811807511e-02,sequential,11520,True,1.1611611877e-02,8,42,2026-05-04T07:12:19.502703
2,0.0000000000e+00,0.0000000000e+00,1,3,1.2154742501e-02,sequential,11520,True,1.1611611877e-02,8,38,2026-05-04T07:12:19.502779
2,0.0000000000e+00,0.0000000000e+00,1,3,1.3664483493e-02,sequential,5760,True,6.7961575771e-03,7,34,2026-05-04T07:12:19.502847
2,0.0000000000e+00,0.0000000000e+00,1,3,1.5361749467e-02,sequential,5760,True,6.7961575771e-03,7,30,2026-05-04T07:12:19.502915
2,0.0000000000e+00,0.0000000000e+00,1,3,1.7269832907e-02,sequential,5760,True,1.7747535029e-02,7,27,2026-05-04T07:12:19.502982
2,0.0000000000e+00,0.0000000000e+00,1,3,1.9414919457e-02,sequential,5760,True,1.7747535029e-02,7,24,2026-05-04T07:12:19.503050
2,0.0000000000e+00,0.0000000000e+00,1,3,2.1826447284e-02,sequential,5760,True,6.7961575771e-03,7,21,2026-05-04T07:12:19.503118
2,0.0000000000e+00,0.0000000000e+00,1,3,2.4537511066e-02,sequential,5760,True,6.7961575771e-03,7,19,2026-05-04T07:12:19.503189
2,0.0000000000e+00,0.0000000000e+00,1,3,2.7585316176e-02,sequential,2880,True,1.9068003880e-02,6,17,2026-05-04T07:12:19.503250
2,0.0000000000e+00,0.0000000000e+00,1,3,3.1011689266e-02,sequential,2880,True,1.9068003880e-02,6,15,2026-05-04T07:12:19.503310
2,0.0000000000e+00,0.0000000000e+00,1,3,3.4863652277e-02,sequential,2880,True,3.0019381332e-02,6,14,2026-05-04T07:12:19.503370
2,0.0000000000e+00,0.0000000000e+00,1,3,3.9194067748e-02,sequential,2880,True,1.9068003880e-02,6,12,2026-05-04T07:12:19.503435
2,0.0000000000e+00,0.0000000000e+00,1,3,4.4062364278e-02,sequential,2880,True,1.9068003880e-02,6,11,2026-05-04T07:12:19.503496
2,0.0000000000e+00,0.0000000000e+00,1,3,4.9535352090e-02,sequential,1440,True,5.4563073938e-02,5,10,2026-05-04T07:12:19.503548
2,0.0000000000e+00,0.0000000000e+00,1,3,5.5688139909e-02,sequential,1440,True,4.3611696486e-02,5,9,2026-05-04T07:12:19.503600
2,0.0000000000e+00,0.0000000000e+00,1,3,6.2605165720e-02,sequential,1440,True,4.3611696486e-02,5,8,2026-05-04T07:12:19.503652
2,0.0000000000e+00,0.0000000000e+00,1,3,7.0381355549e-02,sequential,1440,True,4.3611696486e-02,5,7,2026-05-04T07:12:19.503704
2,0.0000000000e+00,0.0000000000e+00,1,3,7.9123426190e-02,sequential,1440,True,4.3611696486e-02,5,6,2026-05-04T07:12:19.503758
2,0.0000000000e+00,0.0000000000e+00,1,3,8.8951349731e-02,sequential,1440,True,4.3611696486e-02,5,6,2026-05-04T07:12:19.503810
2,0.0000000000e+00,0.0000000000e+00,1,3,1.0000000000e-01,sequential,720,True,5.4756887260e-03,4,5,2026-05-04T07:12:19.503854
