seed,gamma,h,L,N_code,epsilon,total_resources,converged,final_error,n_rounds
2,0.3,0.0,2,5,0.0071968567300115215,31900,True,0.00039440393447875977,100
2,0.3,0.0,2,5,0.01,25885,True,8.496642112731934e-05,100
2,0.3,0.0,2,5,0.013894954943731374,17335,True,0.0003725886344909668,100
2,0.3,0.0,2,5,0.019306977288832496,12970,True,8.496642112731934e-05,100
2,0.3,0.0,2,5,0.026826957952797246,8330,True,0.001448988914489746,100
2,0.3,0.0,2,5,0.037275937203149395,7040,True,1.0907649993896484e-05,100
2,0.3,0.0,2,5,0.0517947467923121,9475,True,0.002481818199157715,200
2,0.3,0.0,2,5,0.07196856730011518,3795,True,0.0649915337562561,100
2,0.3,0.0,2,5,0.1,2600,True,0.003558218479156494,100
0,0.45,0.0,2,5,0.001,248245,True,1.0907649993896484e-05,100
0,0.45,0.0,2,5,0.0013894954943731374,182750,True,0.00020265579223632812,100
0,0.45,0.0,2,5,0.0019306977288832496,263320,True,0.000276714563369751,200
0,0.45,0.0,2,5,0.0026826957952797246,88195,True,0.000276714563369751,100
0,0.45,0.0,2,5,0.003727593720314938,70750,True,0.000276714563369751,100
0,0.45,0.0,2,5,0.005179474679231213,47285,True,0.0004902482032775879,100
0,0.45,0.0,2,5,0.0071968567300115215,36325,True,0.0014272034168243408,100
0,0.45,0.0,2,5,0.01,24605,True,0.0024077296257019043,100
0,0.45,0.0,2,5,0.013894954943731374,17665,True,8.496642112731934e-05,100
0,0.45,0.0,2,5,0.019306977288832496,13545,True,0.0031529366970062256,100
0,0.45,0.0,2,5,0.026826957952797246,9320,True,0.0004902482032775879,100
0,0.45,0.0,2,5,0.037275937203149395,7535,True,0.0034623444080352783,100
0,0.45,0.0,2,5,0.0517947467923121,4545,True,1.0907649993896484e-05,100
0,0.45,0.0,2,5,0.07196856730011518,3660,True,0.004325211048126221,100
0,0.45,0.0,2,5,0.1,5400,True,0.012474477291107178,200
1,0.45,0.0,2,5,0.001,231475,True,0.00018084049224853516,100
1,0.45,0.0,2,5,0.0013894954943731374,188035,True,1.0907649993896484e-05,100
1,0.45,0.0,2,5,0.0019306977288832496,129495,True,0.000276714563369751,100
1,0.45,0.0,2,5,0.0026826957952797246,93100,True,0.00029852986335754395,100
1,0.45,0.0,2,5,0.003727593720314938,68190,True,0.0004902482032775879,100
1,0.45,0.0,2,5,0.005179474679231213,49040,True,0.0007778704166412354,100
1,0.45,0.0,2,5,0.0071968567300115215,35685,True,0.00039440393447875977,100
1,0.45,0.0,2,5,0.01,25750,True,0.002024233341217041,100
1,0.45,0.0,2,5,0.013894954943731374,18215,True,0.0005861222743988037,100
1,0.45,0.0,2,5,0.019306977288832496,11890,True,0.0004684627056121826,100
1,0.45,0.0,2,5,0.026826957952797246,9380,True,0.0025776922702789307,100
1,0.45,0.0,2,5,0.037275937203149395,6430,True,0.0016407370567321777,100
1,0.45,0.0,2,5,0.0517947467923121,5065,True,0.0047827959060668945,100
1,0.45,0.0,2,5,0.07196856730011518,3165,True,0.0008737444877624512,100
1,0.45,0.0,2,5,0.1,2435,True,0.0058374106884002686,100
2,0.45,0.0,2,5,0.001,254610,True,0.00018084049224853516,100
2,0.45,0.0,2,5,0.0013894954943731374,197820,True,1.0907649993896484e-05,100
2,0.45,0.0,2,5,0.0019306977288832496,125225,True,0.000276714563369751,100
2,0.45,0.0,2,5,0.0026826957952797246,94250,True,0.00018084049224853516,100
2,0.45,0.0,2,5,0.003727593720314938,65110,True,0.00039440393447875977,100
2,0.45,0.0,2,5,0.005179474679231213,49610,True,0.0008737444877624512,100
2,0.45,0.0,2,5,0.0071968567300115215,31900,True,0.000276714563369751,100
2,0.45,0.0,2,5,0.01,25885,True,0.002024233341217041,100
2,0.45,0.0,2,5,0.013894954943731374,17335,True,0.0010654926300048828,100
2,0.45,0.0,2,5,0.019306977288832496,12970,True,0.000969618558883667,100
2,0.45,0.0,2,5,0.026826957952797246,8330,True,0.0004684627056121826,100
2,0.45,0.0,2,5,0.037275937203149395,7040,True,0.018972128629684448,100
2,0.45,0.0,2,5,0.0517947467923121,4805,True,0.001810699701309204,100
2,0.45,0.0,2,5,0.07196856730011518,3795,True,0.006125032901763916,100
2,0.45,0.0,2,5,0.1,2600,True,0.005283951759338379,100
