seed,gamma,h,L,N_code,epsilon,mode,total_resources,converged,final_error,n_accepted,n_rejected,acceptance_rate,n_syndrome_used,mean_d,timestamp
2,1.0000000000e-02,0.0000000000e+00,1,3,2.4537511066e-02,error_detected,6267,True,7.5608491898e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:10.827751
2,1.0000000000e-02,0.0000000000e+00,1,3,2.7585316176e-02,error_detected,5643,True,1.0907649994e-05,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:10.865735
2,1.0000000000e-02,0.0000000000e+00,1,3,3.1011689266e-02,error_detected,5661,True,1.0437071323e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:10.902935
2,1.0000000000e-02,0.0000000000e+00,1,3,3.4863652277e-02,error_detected,4233,True,2.3380219936e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:10.940416
2,1.0000000000e-02,0.0000000000e+00,1,3,3.9194067748e-02,error_detected,7848,True,1.0907649994e-05,200,1,9.9502487562e-01,0,0.0000000000e+00,2026-04-29T19:59:11.004911
2,1.0000000000e-02,0.0000000000e+00,1,3,4.4062364278e-02,error_detected,3552,True,1.8106997013e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:11.042468
2,1.0000000000e-02,0.0000000000e+00,1,3,4.9535352090e-02,error_detected,3195,True,4.6846270561e-04,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:11.076572
2,1.0000000000e-02,0.0000000000e+00,1,3,5.5688139909e-02,error_detected,74124,True,5.8829784393e-05,2700,10,9.9630996310e-01,0,0.0000000000e+00,2026-04-29T19:59:11.819586
2,1.0000000000e-02,0.0000000000e+00,1,3,6.2605165720e-02,error_detected,9567,True,4.9024820328e-04,400,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:11.949367
2,1.0000000000e-02,0.0000000000e+00,1,3,7.0381355549e-02,error_detected,2211,True,2.2159814835e-03,100,1,9.9009900990e-01,0,0.0000000000e+00,2026-04-29T19:59:11.987361
2,1.0000000000e-02,0.0000000000e+00,1,3,7.9123426190e-02,error_detected,1635,True,1.6886889935e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:12.025206
2,1.0000000000e-02,0.0000000000e+00,1,3,8.8951349731e-02,error_detected,1998,True,1.4751553535e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:12.059523
2,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-01,error_detected,1560,True,2.7433037758e-03,100,0,1.0000000000e+00,0,0.0000000000e+00,2026-04-29T19:59:12.093673
5,1.0000000000e-02,0.0000000000e+00,1,3,1.0000000000e-04,error_detected,749618004,False,2.0945441723e+00,49920,80,9.9840000000e-01,0,0.0000000000e+00,2026-04-29T19:54:08.908344
5,1.0000000000e-02,0.0000000000e+00,1,3,1.1242100351e-04,error_detected,669403821,False,2.0945441723e+00,49913,87,9.9826000000e-01,0,0.0000000000e+00,2026-04-29T19:54:30.279226
5,1.0000000000e-02,0.0000000000e+00,1,3,1.2638482029e-04,error_detected,594230316,False,2.5414118767e+00,49931,69,9.9862000000e-01,0,0.0000000000e+00,2026-04-29T19:54:51.388595
5,1.0000000000e-02,0.0000000000e+00,1,3,1.4208308325e-04,error_detected,527365920,False,2.0945441723e+00,49919,81,9.9838000000e-01,0,0.0000000000e+00,2026-04-29T19:55:12.043547
5,1.0000000000e-02,0.0000000000e+00,1,3,1.5973122801e-04,error_detected,466936764,False,2.0945441723e+00,49915,85,9.9830000000e-01,0,0.0000000000e+00,2026-04-29T19:55:32.121726
5,1.0000000000e-02,0.0000000000e+00,1,3,1.7957144944e-04,error_detected,416466882,False,2.5414118767e+00,49918,82,9.9836000000e-01,0,0.0000000000e+00,2026-04-29T19:55:51.349553
5,1.0000000000e-02,0.0000000000e+00,1,3,2.0187602547e-04,error_detected,370737675,False,2.5414118767e+00,49906,94,9.9812000000e-01,0,0.0000000000e+00,2026-04-29T19:56:09.844444
